run,model,data,epochs,batch,imgsz,seed,deterministic,optimizer,weights_sha256,weights_bytes
curve_scratch_2,yolo11s-seg.pt,work/real_ft_2/data.yaml,120,4,640,0,True,auto,79e3b2fa365264bfdd03be3d35a8b1a3174b05b6c16e2b6c7c05e291fd5b2775,20499165
curve_scratch_4,yolo11s-seg.pt,work/real_ft_4/data.yaml,120,4,640,0,True,auto,0096420a8ff1ba436971cdab6e2c4d41ce3ece8dbe115c17389c06235b93b85a,20499165
curve_sim_2,external/doi/models/spores_sem/best.pt,work/real_ft_2/data.yaml,120,4,640,0,True,auto,f18f8e45bd6bcf677cd7d4115971bffdf49d7f654fe4e98b1700d41ed96561a8,20511645
curve_sim_4,external/doi/models/spores_sem/best.pt,work/real_ft_4/data.yaml,120,4,640,0,True,auto,ea5fe9ce2bd36c0954379688c47c67b2b322304b840649dad7daf4ca902c8b05,20511645
nanoparticles_tem,yolo11s-seg.pt,external/doi/derived/nanoparticles_tem/data.yaml,100,16,640,0,True,auto,0ad19cdfe34cc4515bc864c30481fa4a3277abe9c61a543fe3ea092ffe834597,20523741
real_ft_scratch,yolo11s-seg.pt,work/real_ft/data.yaml,120,4,640,0,True,auto,12fd862e0477993a0ec6517b66241f49caff0872916b1312aa5bfd1b303f572a,20498013
real_ft_sim,external/doi/models/spores_sem/best.pt,work/real_ft/data.yaml,120,4,640,0,True,auto,7e8e80ec10ae2ca75fa993424572b4b790dfe2e266645ef76ffb4004ea70fa67,20511645
rep_natural_2_0,yolo11s-seg.pt,work/burden_replicates/ds_2_0/data.yaml,120,4,640,0,True,auto,92443990cae68223626c70670a2130e8cad7bc18b16c5c24ec6d76076f05dde4,20511645
rep_natural_2_1,yolo11s-seg.pt,work/burden_replicates/ds_2_1/data.yaml,120,4,640,1,True,auto,964103207b965cb192a10bbd210c45ef68c384b408e6c190c930c7d3cf61b5a7,20502109
rep_natural_2_2,yolo11s-seg.pt,work/burden_replicates/ds_2_2/data.yaml,120,4,640,2,True,auto,83fcd6956354d0c127aa68c06e2a186810ff46cfb92193a21c0b9cedfcf29fef,20511645
rep_natural_2_3,yolo11s-seg.pt,work/burden_replicates/ds_2_3/data.yaml,120,4,640,3,True,auto,e4657143770ecdb07394925c238460cc1c4d5f85e30afe9ae41ab441120a0746,20511645
rep_natural_4_0,yolo11s-seg.pt,work/burden_replicates/ds_4_0/data.yaml,120,4,640,0,True,auto,62dc4a3f9895f246aa9d1aa3db952117075bfd85605807c6dc503c35eb9b69d9,20503261
rep_natural_4_1,yolo11s-seg.pt,work/burden_replicates/ds_4_1/data.yaml,120,4,640,1,True,auto,901cc25238e3010bf33d397b6e446e656980642ae9ddce0e465c981f2ecfb26b,20503261
rep_natural_4_2,yolo11s-seg.pt,work/burden_replicates/ds_4_2/data.yaml,120,4,640,2,True,auto,5e9854904190597ea66155372a7614a649e9ccb9599d24e18716a14accd455cd,20511645
rep_natural_4_3,yolo11s-seg.pt,work/burden_replicates/ds_4_3/data.yaml,120,4,640,3,True,auto,1be8990bc9839755ebabdadb22b0763a99fdc1fda7eb1d82c89a0c4213256649,20504541
rep_natural_8_0,yolo11s-seg.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,0,True,auto,f520ba8bed57bf3cbf820b9fb07c10854ee3aa1ecdf98016ced2ae23dc5ae7c5,20498013
rep_natural_8_1,yolo11s-seg.pt,work/burden_replicates/ds_8_1/data.yaml,120,4,640,1,True,auto,d3e16a68325a2a741a6699130c6152d6e4eecb1fde663d97feea9c424e01ce24,20500061
rep_natural_8_2,yolo11s-seg.pt,work/burden_replicates/ds_8_2/data.yaml,120,4,640,2,True,auto,79ed1916cbb2268857a4c239dd196d17d09e108b88ff08df293f592c3b32c4b8,20511645
rep_natural_8_3,yolo11s-seg.pt,work/burden_replicates/ds_8_3/data.yaml,120,4,640,3,True,auto,7a4bb4f2aeb1a81e344c3a2f5cb8512ac07aa22f99f8fbba983a495e7e8ef139,20500061
rep_natural_8_4,yolo11s-seg.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,4,True,auto,8b9d476d88945f8a602f239ae2cb50da2a365d4ba3688c13a1e4ee375e49bbea,20498013
rep_natural_8_5,yolo11s-seg.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,5,True,auto,3231489509bb2d24ee721ea69485154ba208f384625155070f3e50d9c30a8ebc,20511645
