frame,cumulative_dose_e_per_A2,true_dy_px,true_dx_px,recovered_dy_px,recovered_dx_px
1,10.0,0.0,0.0,0.0,0.0
2,20.0,-0.15270697,0.70813715,0.3,0.7
3,30.0,-0.32583818,1.251341,0.4,1.6
4,40.0,-0.2312663,1.5291845,-1.1,1.2
5,50.0,-0.6272309,1.8149459,-0.3,2.1
6,60.0,-0.56927943,1.7632746,-0.3,1.6
7,70.0,-0.2680227,1.8703475,-0.2,1.5
8,80.0,-0.98482364,2.0995862,-0.7,2.9
9,90.0,-0.984265,2.2544956,-0.9,2.4
10,100.0,-0.87181,2.0659726,-0.7,2.8
11,110.0,-0.53168106,2.224459,-0.4,2.3
12,120.0,-0.42132303,2.2740924,-0.7,2.3
13,130.0,-0.68832725,2.8609934,-0.1,2.5
14,140.0,-0.5524335,3.149063,-0.7,2.6
15,150.0,0.066472985,3.570523,-0.1,3.2
16,160.0,-0.46809018,3.7456062,-0.6,3.3
17,170.0,-0.55818456,3.7203743,-0.8,3.0
18,180.0,-0.79881424,3.875852,-0.5,3.7
19,190.0,-0.5046552,3.4204736,-1.1,3.6
20,200.0,-0.6024391,3.599781,-1.5,3.5
21,210.0,-0.8187896,3.1925042,-0.3,3.1
22,220.0,-0.81893754,3.0018458,-0.3,2.6
23,230.0,-0.6328057,2.818979,-0.8,2.2
24,240.0,-0.63286924,2.5001097,-0.3,2.6
25,250.0,-0.5069516,2.52433,-0.3,2.7
26,260.0,-0.7635516,2.59469,-0.2,3.1
27,270.0,0.10473048,2.722017,-0.7,2.6
28,280.0,0.23593582,2.7338195,-0.4,2.0
29,290.0,0.36831018,2.643194,1.0,3.0
30,300.0,0.25745404,2.2714868,0.0,2.5
31,310.0,0.008005121,2.4793494,-0.3,2.7
32,320.0,-0.3730167,2.482394,-0.1,2.3
33,330.0,-0.8009459,2.0460546,-0.5,2.6
34,340.0,-0.8982579,1.642055,-0.2,1.8
35,350.0,-0.021144439,1.3623837,0.0,1.0
36,360.0,0.22103857,1.0302715,0.3,1.3
37,370.0,-0.14949411,0.84721875,-0.1,1.2
38,380.0,-0.3555896,0.79738754,-0.6,1.1
39,390.0,0.30663842,0.65109944,0.0,1.0
40,400.0,0.7655684,0.4156758,0.3,-0.3
41,410.0,0.6898989,0.12998715,-0.20000002,0.1
42,420.0,0.70912075,-0.10539772,0.6,-0.1
43,430.0,0.083403334,-0.5889933,-0.5,-0.2
44,440.0,0.28443408,-0.9924867,-0.2,-0.3
45,450.0,0.728092,-0.9266682,0.5,-0.3
46,460.0,0.7478324,-0.9087889,0.4,-1.1
47,470.0,0.6412537,-0.9583404,1.3,-0.5
48,480.0,0.9813867,-1.4828022,1.6,-0.8
49,490.0,1.1485475,-1.5342779,1.9,-1.7
50,500.0,0.8003417,-1.8407542,1.2,-1.5
51,510.0,1.2960573,-1.9720932,1.5,-1.8
52,520.0,1.0707833,-2.1548228,1.4,-2.6000001
53,530.0,1.0179963,-2.523788,1.1,-3.7
54,540.0,0.81167215,-2.3728561,1.4,-2.8
55,550.0,0.97208875,-2.9653783,0.8,-3.7
56,560.0,0.69510496,-3.2756789,0.0,-2.7
57,570.0,0.68188745,-2.8873107,-0.1,-3.0
58,580.0,0.8798962,-3.6338546,0.9,-2.8
59,590.0,0.97500354,-3.961709,1.2,-4.4
60,600.0,1.2676629,-4.2521915,1.6,-4.1
61,610.0,1.3104227,-4.236333,0.3,-4.1
62,620.0,1.6038365,-3.7300007,0.8,-4.2
63,630.0,1.822433,-3.617014,2.1,-3.7
64,640.0,2.4236863,-4.3059998,2.9,-4.3
65,650.0,2.4864895,-4.0863204,2.9,-4.1
66,660.0,2.6449058,-4.112452,3.4,-3.8
67,670.0,3.1579335,-3.950828,2.8,-4.6
68,680.0,3.2037878,-3.9029586,3.0,-4.3
69,690.0,2.9687335,-4.2149444,3.2,-4.3
70,700.0,2.9450495,-4.1538134,2.8,-3.5
71,710.0,3.3636434,-4.3839617,3.8,-4.2
72,720.0,3.2057335,-4.5755506,3.0,-4.4
73,730.0,3.0236998,-4.77228,2.9,-4.1
74,740.0,2.7657492,-4.3856344,3.3000002,-4.3
75,750.0,2.6649604,-3.8969047,2.6,-3.6
76,760.0,2.8565996,-3.4823992,2.8,-3.7
77,770.0,2.9275358,-2.8915327,3.2,-2.2
78,780.0,3.5550926,-2.9233077,2.9,-3.0
79,790.0,3.4813025,-2.7697055,3.5,-2.6
80,800.0,3.4126565,-2.2694373,3.4,-2.1
81,810.0,3.510757,-1.7822264,3.0,-1.7
82,820.0,3.4805925,-1.7019489,3.9,-2.1
83,830.0,3.1195471,-1.663328,4.0,-2.0
84,840.0,3.169991,-1.4880645,3.0,-2.2
85,850.0,3.0586138,-1.8801526,3.0,-2.9
86,860.0,3.1363134,-1.4439065,3.3,-1.1
87,870.0,3.3899121,-1.063229,3.3,-1.1
88,880.0,3.2554166,-0.52188516,2.7,-0.7
89,890.0,2.9868476,0.14471768,3.3,0.3
90,900.0,3.003613,0.028420327,2.8,0.5
91,910.0,3.1188352,-0.09564514,4.0,0.3
92,920.0,3.2156246,0.34007633,3.1,0.7
93,930.0,3.3907557,0.5193019,3.5,0.4
94,940.0,3.4832997,0.5260554,3.3,0.7
95,950.0,3.8791513,0.75676244,2.8,0.4
96,960.0,4.552689,0.6277813,4.3,0.8
97,970.0,4.774256,0.9989557,5.1,1.0
98,980.0,5.315133,1.192976,5.5,1.3
99,990.0,5.370345,1.2208612,4.7,1.3
100,1000.0,5.6009,1.223521,5.4,0.7
