movie_id,dose_condition,electrons_per_pixel_per_frame,replicate,random_seed,specimen_seed,trajectory_seed,noise_seed,number_of_frames,pixel_size,input_motion_px,alignment_rmse_px,maximum_error_px,sharpness_before,sharpness_after,sharpness_gain_percent,alignment_success,failure_definition,figure_panel,source_file,software_version,git_commit
nominal_300_rep0,nominal_300,300.0,0,100,4,0,100,24,18.0 A/px,26.0,0.05705085465858451,0.10661513721880536,0.00031960607157088816,0.0015627588145434856,388.9640571790164,True,alignment_success = alignment_rmse_px < 1.0 px,2A/2B/2C,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
nominal_300_rep1,nominal_300,300.0,1,101,5,1,101,24,18.0 A/px,26.0,0.06753386613237491,0.12291033015790165,0.000446090882178396,0.0016627060249447823,272.72809003073286,True,alignment_success = alignment_rmse_px < 1.0 px,2A/2B/2C,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
nominal_300_rep2,nominal_300,300.0,2,102,6,2,102,24,18.0 A/px,26.0,0.06289941621802851,0.11125310146302414,0.000401058467105031,0.0017795917810872197,343.7237777157245,True,alignment_success = alignment_rmse_px < 1.0 px,2A/2B/2C,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
nominal_300_rep3,nominal_300,300.0,3,103,7,3,103,24,18.0 A/px,26.0,0.0632172459919411,0.10607785781081011,0.00040831961086951196,0.0017035449855029583,317.20871105732067,True,alignment_success = alignment_rmse_px < 1.0 px,2A/2B/2C,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
nominal_300_rep4,nominal_300,300.0,4,104,8,4,104,24,18.0 A/px,26.0,0.06347050698408552,0.12770852713949932,0.0005035962094552815,0.0018916387343779206,275.62608670625724,True,alignment_success = alignment_rmse_px < 1.0 px,2A/2B/2C,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
nominal_300_rep5,nominal_300,300.0,5,105,9,5,105,24,18.0 A/px,26.0,0.06893618537197614,0.11733203196092418,0.0004254086525179446,0.0015193703584372997,257.15549024316323,True,alignment_success = alignment_rmse_px < 1.0 px,2A/2B/2C,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_100_rep0,dose_100,100.0,0,100,4,0,100,24,18.0 A/px,26.0,0.05418005150975283,0.10661513721880536,0.00043209100840613246,0.0016551623120903969,283.05872602992724,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_100_rep1,dose_100,100.0,1,101,5,1,101,24,18.0 A/px,26.0,0.06577764139165725,0.12291033015790165,0.0005583696183748543,0.0017573584336787462,214.73031050535525,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_100_rep2,dose_100,100.0,2,102,6,2,102,24,18.0 A/px,26.0,0.059645499512325825,0.10756979663977607,0.000513258040882647,0.0018703211098909378,264.40171627405135,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_100_rep3,dose_100,100.0,3,103,7,3,103,24,18.0 A/px,26.0,0.05843801246248369,0.10607785781081011,0.0005186159396544099,0.0017941526602953672,245.9501575464373,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
