preparation,stem,frac_below_dn32,mean_f1_across_seeds,confident_reference_share
sem,27E1_002,0.787997,0.469922,0.697674
sem,27E1_004,0.845651,0.50404,0.565217
sem,27E1_013,0.703719,0.418888,0.647059
sem,28A4_004,0.695528,0.51252,0.462963
sem,4AC2_003,0.678465,0.679157,0.677419
sem,4AJ1_058,0.674675,0.697528,0.864407
sem,RO-NN-1_007,0.660173,0.765277,0.8125
sem,TU-B-10_011,0.64303,0.759128,0.8
sem_raw,27E1_002,0.007251,0.533576,0.697674
sem_raw,27E1_004,0.007249,0.555267,0.565217
sem_raw,27E1_013,0.008223,0.439085,0.647059
sem_raw,28A4_004,0.007251,0.52796,0.462963
sem_raw,4AC2_003,0.007251,0.679012,0.677419
sem_raw,4AJ1_058,0.007249,0.723417,0.864407
sem_raw,RO-NN-1_007,0.008218,0.725696,0.8125
sem_raw,TU-B-10_011,0.015989,0.739784,0.8
sem_global,27E1_002,0.007251,0.482745,0.697674
sem_global,27E1_004,0.007249,0.494949,0.565217
sem_global,27E1_013,0.008223,0.397877,0.647059
sem_global,28A4_004,0.007251,0.519484,0.462963
sem_global,4AC2_003,0.007251,0.643678,0.677419
sem_global,4AJ1_058,0.007249,0.714221,0.864407
sem_global,RO-NN-1_007,0.007962,0.713975,0.8125
sem_global,TU-B-10_011,0.013857,0.727763,0.8
