f1,fn,fp,inference_seconds,n_predicted,n_reference,n_reference_confident,n_tiles,pixel_size_nm,precision,recall,recall_confident,seed,stem,tp
0.6216216216216217,19,9,3.295271481969394,32,42,25,6,9.609,0.71875,0.5476190476190477,0.92,0,10A5_013,23
0.5128205128205128,13,6,0.1707281939452514,16,23,13,6,19.168,0.625,0.43478260869565216,0.7692307692307693,0,27E1_004,10
0.4444444444444444,32,23,0.9392913150368258,45,54,25,6,12.306,0.4888888888888889,0.4074074074074074,0.84,0,28A4_004,22
0.8518518518518519,15,9,2.6399921040283516,78,84,74,6,15.569,0.8846153846153846,0.8214285714285714,0.9324324324324325,0,3A28_021,69
0.0,13,8,0.21700975892599672,8,13,4,6,7.108,0.0,0.0,0.0,0,4AC2_036,0
0.6923076923076923,14,26,1.9417561409063637,71,59,51,6,16.838,0.6338028169014085,0.7627118644067796,0.8627450980392157,0,4AJ1_058,45
0.7643312101910829,4,33,3.173567537916824,93,64,64,6,13.827,0.6451612903225806,0.9375,0.9375,0,4CC1_002,60
0.6133333333333333,14,15,1.1819079520646483,38,37,26,6,7.921,0.6052631578947368,0.6216216216216216,0.8461538461538461,0,RO-H-1_031,23
0.7,12,12,1.2622515130788088,40,40,32,6,7.317,0.7,0.7,0.84375,0,TU-B-10_011,28
0.5753424657534247,21,10,0.7812984639313072,31,42,25,6,9.609,0.6774193548387096,0.5,0.84,1,10A5_013,21
0.4878048780487805,13,8,0.17914902896154672,18,23,13,6,19.168,0.5555555555555556,0.43478260869565216,0.7692307692307693,1,27E1_004,10
0.4631578947368421,32,19,0.8825820250203833,41,54,25,6,12.306,0.5365853658536586,0.4074074074074074,0.8,1,28A4_004,22
0.8152866242038217,20,9,2.3116778490366414,73,84,74,6,15.569,0.8767123287671232,0.7619047619047619,0.8648648648648649,1,3A28_021,64
0.0,13,4,0.08121306297834963,4,13,4,6,7.108,0.0,0.0,0.0,1,4AC2_036,0
0.5714285714285714,17,46,2.7382541380356997,88,59,51,6,16.838,0.4772727272727273,0.711864406779661,0.803921568627451,1,4AJ1_058,42
0.736196319018405,4,39,3.479696094058454,99,64,64,6,13.827,0.6060606060606061,0.9375,0.9375,1,4CC1_002,60
0.5753424657534246,16,15,0.9626710040029138,36,37,26,6,7.921,0.5833333333333334,0.5675675675675675,0.7307692307692307,1,RO-H-1_031,21
0.5866666666666667,18,13,1.073013516026549,35,40,32,6,7.317,0.6285714285714286,0.55,0.65625,1,TU-B-10_011,22
0.6133333333333334,19,10,0.8156598400091752,33,42,25,6,9.609,0.696969696969697,0.5476190476190477,0.92,2,10A5_013,23
0.47368421052631576,14,6,0.14091050392016768,15,23,13,6,19.168,0.6,0.391304347826087,0.6923076923076923,2,27E1_004,9
0.495049504950495,29,22,1.0897940230788663,47,54,25,6,12.306,0.5319148936170213,0.46296296296296297,0.92,2,28A4_004,25
0.8375,17,9,2.710789856966585,76,84,74,6,15.569,0.881578947368421,0.7976190476190477,0.9054054054054054,2,3A28_021,67
0.0,13,6,0.14979859697632492,6,13,4,6,7.108,0.0,0.0,0.0,2,4AC2_036,0
0.6259541984732824,18,31,2.1240105479955673,72,59,51,6,16.838,0.5694444444444444,0.6949152542372882,0.7843137254901961,2,4AJ1_058,41
0.7919463087248322,5,26,2.9555786779383197,85,64,64,6,13.827,0.6941176470588235,0.921875,0.921875,2,4CC1_002,59
0.6329113924050633,12,17,1.3185792070580646,42,37,26,6,7.921,0.5952380952380952,0.6756756756756757,0.9230769230769231,2,RO-H-1_031,25
0.6666666666666666,12,16,1.4255830169422552,44,40,32,6,7.317,0.6363636363636364,0.7,0.875,2,TU-B-10_011,28
